time,ID,x,y,SEQ,SPEED,ID,time,distance
6.3,1,-82.847323,34.681333,62,12.429805,0,6.2,0.001192881
6.3,2,-82.848023,34.681824,62,10.559038,1,6.2,0.51726448
6.3,2,-82.846656,34.67731,62,8.391431,1,6.2,0.516271304
6.3,5,-82.844295,34.683706,62,4.612392,4,6.2,0.000445286
6.3,6,-82.845262,34.682738,62,2.720828,5,6.2,0.000270431
6.3,7,-82.845333,34.681553,62,0.495067,6,6.2,7.81E-05
6.4,1,-82.84731,34.681334,63,12.567513,0,6.3,0.00129789
6.4,2,-82.848022,34.681815,63,10.758481,1,6.3,0.517051527
6.4,2,-82.84665,34.677304,63,8.620437,1,6.3,0.515928448
6.4,5,-82.844295,34.683702,63,4.843711,4,6.3,0.000553563
6.4,6,-82.845259,34.682738,63,2.95606,5,6.3,0.000366166
6.4,7,-82.845334,34.681553,63,0.720409,6,6.3,7.81E-05
6.5,1,-82.847296,34.681336,64,12.816517,0,6.4,0.001283927
6.5,2,-82.84802,34.681805,64,10.944564,1,6.4,0.516816846
6.5,2,-82.846644,34.677297,64,8.828005,1,6.4,0.515716126
6.5,5,-82.844295,34.683697,64,5.029665,4,6.4,0.000559041
6.5,6,-82.845255,34.682738,64,3.112969,5,6.4,0.000270431
6.5,7,-82.845335,34.681553,64,0.978711,6,6.4,7.81E-05
6.6,1,-82.847282,34.681337,65,13.060991,0,6.5,0.001375592
6.6,2,-82.848019,34.681795,65,11.10712,1,6.5,0.516497058
6.6,2,-82.846638,34.677291,65,9.001411,1,6.5,0.515374159
6.6,5,-82.844294,34.683692,65,5.230423,4,6.5,0.000445286
6.6,6,-82.845252,34.682738,65,3.276629,5,6.5,0.000378272
6.6,7,-82.845336,34.681553,65,1.238257,6,6.5,0.000174565
6.7,1,-82.847267,34.681338,66,13.217922,0,6.6,0.001283926
6.7,2,-82.848017,34.681785,66,11.29062,1,6.6,0.516263216
6.7,2,-82.846632,34.677284,66,9.205475,1,6.6,0.515162845
6.7,5,-82.844294,34.683688,66,5.394349,4,6.6,0.000664547
6.7,6,-82.845248,34.682739,66,3.525571,5,6.6,0.003337183
6.7,7,-82.845338,34.681553,66,1.452969,6,6.6,0.000174565
6.8,1,-82.847253,34.681339,67,13.463665,0,6.7,0.001388634
6.8,2,-82.848016,34.681775,67,11.525843,1,6.7,0.515967014
6.8,2,-82.846625,34.677278,67,9.414198,1,6.7,0.514736549
6.8,5,-82.844294,34.683682,67,5.585667,4,6.7,0.000559041
6.8,6,-82.845247,34.682769,67,3.657873,5,6.7,0.000366165
6.8,7,-82.84534,34.681553,67,1.711971,6,6.7,0.00019871
6.9,1,-82.847238,34.681341,68,13.601196,0,6.8,0.001375592
6.9,2,-82.848014,34.681764,68,11.755898,1,6.8,0.515626344
6.9,2,-82.846619,34.677271,68,9.603258,1,6.8,0.514503719
6.9,5,-82.844293,34.683677,68,5.728036,4,6.8,0.000559041
6.9,6,-82.845243,34.682769,68,3.84258,5,6.8,0.000366165
6.9,7,-82.845342,34.681552,68,1.95009,6,6.8,0.000174565
7,1,-82.847223,34.681342,69,13.816122,0,6.9,0.001375592
7,2,-82.848012,34.681754,69,11.985869,1,6.9,0.515416503
7,2,-82.846612,34.677264,69,9.838819,1,6.9,0.514209021
7,5,-82.844292,34.683672,69,5.953678,4,6.9,0.000580434
7,6,-82.845239,34.682769,69,3.983548,5,6.9,0.000464998
7,7,-82.845344,34.681552,69,2.160699,6,6.9,0.000270435
7.1,1,-82.847208,34.681343,70,13.849716,0,7,0.001388633
7.1,2,-82.848011,34.681743,70,12.146938,1,7,0.515099516
7.1,2,-82.846606,34.677257,70,9.99115,1,7,0.513869435
7.1,5,-82.84429,34.683667,70,6.091804,4,7,0.000669117
7.1,6,-82.845234,34.68277,70,4.204241,5,7,0.000455203
7.1,7,-82.845347,34.681552,70,2.376457,6,7,0.000174565
7.1,8,-82.846783,34.677444,70,0,7,7,0
7.2,1,-82.847193,34.681345,71,13.8859,0,7.1,0.001375591
7.2,2,-82.848009,34.681732,71,12.379416,1,7.1,0.514783127
7.2,2,-82.846599,34.67725,71,10.176334,1,7.1,0.513445547
7.2,5,-82.844289,34.683661,71,6.347709,4,7.1,0.000687091
7.2,6,-82.845229,34.68277,71,4.462513,5,7.1,0.000455203
7.2,7,-82.845349,34.681552,71,2.51708,6,7.1,0.000286614
7.2,8,-82.846783,34.677444,71,0.259363,7,7.1,9.49E-05
7.3,1,-82.847178,34.681346,72,13.78665,0,7.2,0.001388633
7.3,2,-82.848007,34.68172,72,12.594837,1,7.2,0.514467338
7.3,2,-82.846592,34.677242,72,10.399317,1,7.2,0.51323754
7.3,5,-82.844287,34.683655,72,6.536903,4,7.2,0.000559041
7.3,6,-82.845224,34.68277,72,4.69626,5,7.2,0.000464998
7.3,7,-82.845352,34.681551,72,2.701217,6,7.2,0.000270435
7.3,8,-82.846783,34.677443,72,0.518336,7,7.2,7.81E-05
7.4,1,-82.847163,34.681348,73,13.82773,0,7.3,0.001375591
7.4,2,-82.848005,34.681709,73,12.792924,1,7.3,0.514152149
7.4,2,-82.846585,34.677235,73,10.567772,1,7.3,0.512838029
7.4,5,-82.844286,34.68365,73,6.74686,4,7.3,0.000796444
7.4,6,-82.845219,34.682771,73,4.890359,5,7.3,0.000546467
7.4,7,-82.845355,34.681551,73,2.916837,6,7.3,0.000366171
7.4,8,-82.846782,34.677443,73,0.747339,7,7.3,0.000122914
7.5,1,-82.847148,34.681349,74,13.84852,0,7.4,0.001388633
7.5,2,-82.848004,34.681697,74,13.014774,1,7.4,0.513883963
7.5,2,-82.846577,34.677227,74,10.807806,1,7.4,0.512654486
7.5,5,-82.844284,34.683643,74,6.921959,4,7.4,0.000687091
7.5,6,-82.845213,34.682771,74,5.034947,5,7.4,0.000455203
7.5,7,-82.845359,34.681551,74,3.145442,6,7.4,0.000286614
7.5,8,-82.846781,34.677442,74,0.996461,7,7.4,9.49E-05
7.6,1,-82.847133,34.681351,75,13.770813,0,7.5,0.001375591
7.6,2,-82.848002,34.681686,75,13.158606,1,7.5,0.513677683
7.6,2,-82.84657,34.677219,75,10.982592,1,7.5,0.512340827
7.6,5,-82.844282,34.683637,75,7.085845,4,7.5,0.000687091
7.6,6,-82.845208,34.682771,75,5.165652,5,7.5,0.000554652
7.6,7,-82.845362,34.68155,75,3.404,6,7.5,0.000366171
7.6,8,-82.846781,34.677441,75,1.253413,7,7.5,0.000122914
7.7,1,-82.847118,34.681352,76,13.78624,0,7.6,0.001375591
7.7,2,-82.848,34.681674,76,13.299142,1,7.6,0.513387853
7.7,2,-82.846562,34.677211,76,11.141928,1,7.6,0.51205122
7.7,5,-82.84428,34.683631,76,7.342384,4,7.6,0.000796444
7.7,6,-82.845202,34.682772,76,5.379237,5,7.6,0.000546467
7.7,7,-82.845366,34.68155,76,3.589059,6,7.6,0.000378277
7.7,8,-82.84678,34.67744,76,1.457401,7,7.6,0.000122914
7.8,1,-82.847103,34.681353,77,13.780382,0,7.7,0.001388633
7.8,2,-82.847998,34.681662,77,13.507571,1,7.7,0.513075322
7.8,2,-82.846555,34.677203,77,11.378045,1,7.7,0.511631416
7.8,5,-82.844278,34.683624,77,7.517888,4,7.7,0.000796444
7.8,6,-82.845196,34.682772,77,5.578335,5,7.7,0.000639004
